address,orientation,distance_m
"UNIT 115, 1015 PACIFIC HIGHWAY",West,2877.72
"LEVEL 1, 165 EASTERN VALLEY WAY",North,32.76
23A ARCHBOLD ROAD,North,2667.01
12A HUDSON AVENUE,North,754.18
9A HUDSON AVENUE,North,760.98
66A PACIFIC HIGHWAY,West,3240.63
18 MELNOTTE AVENUE,West,2752.65
10 WARRANE ROAD,West,311.51
12 WARRANE ROAD,West,313.85
4 WARRANE ROAD,West,307.59
50 TUNKS STREET,North-East,222.31
52 TUNKS STREET,North-East,209.48
41 THE RAMPART,North-West,17.08
48 THE RAMPART,North-East,12.51
30 THE RAMPART,North,25.63
32 THE RAMPART,North,27.73
36 THE RAMPART,North-West,26.65
38 THE RAMPART,South-West,16.99
4 THE RAMPART,North-East,20.94
40 THE RAMPART,North-West,26.98
42 THE RAMPART,North-West,27.03
44 THE RAMPART,North-West,19.18
46 THE RAMPART,North-West,27.92
20 CHARLES STREET,West,24.83
91 EASTERN VALLEY WAY,North-West,36.55
97 EASTERN VALLEY WAY,North,8.25
99 EASTERN VALLEY WAY,South,23.3
"UNIT 33, 60 STRATHALLEN AVENUE",North-West,657.21
"APARTMENT 402B, 34 PENSHURST STREET",North,1018.26
"APARTMENT 409B, 34 PENSHURST STREET",North,1015.64
"UNIT 206, 11 VICTORIA STREET",West,2866.43
"APARTMENT 303A, 34 PENSHURST STREET",North,1000.71
"UNIT 209, 1 VICTORIA STREET",West,2866.43
"UNIT 301, 7 VICTORIA STREET",West,2866.43
"UNIT 305, 7 VICTORIA STREET",West,2866.43
"UNIT 201, 1 VICTORIA STREET",West,2866.43
"UNIT 107, 5 VICTORIA STREET",West,2866.43
34A NAROOMA ROAD,North-East,414.98
"UNIT 109, 1 VICTORIA STREET",West,2866.43
"UNIT 5, 5 VICTORIA STREET",West,2866.43
"UNIT 203, 3 VICTORIA STREET",West,2866.43
"UNIT 1, 3 VICTORIA STREET",West,2866.43
"UNIT 301, 5 VICTORIA STREET",West,2866.43
"UNIT 209, 3 VICTORIA STREET",West,2866.43
"UNIT 402, 1 VICTORIA STREET",West,2866.43
"UNIT 202, 3 VICTORIA STREET",West,2866.43
"UNIT 3, 7 VICTORIA STREET",West,2866.43
173 EASTERN VALLEY WAY,West,78.21
11 SUGARLOAF CRESCENT,South,30.01
110 SUGARLOAF CRESCENT,North-West,33.19
32 SUGARLOAF CRESCENT,South,27.53
35 SUGARLOAF CRESCENT,South,31.02
12 THE POSTERN,North-East,10.13
14 THE POSTERN,North-East,24.54
"UNIT 1, 3 THE POSTERN",North-West,13.21
"UNIT 3, 3 THE POSTERN",North-West,13.21
3 THE POSTERN,North-West,13.21
6 THE POSTERN,North-West,9.54
165 DEEPWATER ROAD,North,836.88
166 DEEPWATER ROAD,North,997.66
167 DEEPWATER ROAD,North,825.65
168 DEEPWATER ROAD,North,999.65
169 DEEPWATER ROAD,North,811.06
199 DEEPWATER ROAD,North,938.63
20A DEEPWATER ROAD,North,1653.45
3 DEEPWATER ROAD,North,1701.61
30 DEEPWATER ROAD,North,1433.45
32 DEEPWATER ROAD,North,1422.68
34 DEEPWATER ROAD,North,1406.33
45 DEEPWATER ROAD,North,1523.15
54A DEEPWATER ROAD,North,1222.08
8 THE POSTERN,North-West,10.04
9 THE POSTERN,South,26.53
11 HOLLY STREET,North,1758.12
12 HOLLY STREET,North,1684.93
14 HOLLY STREET,North,1683.21
15A HOLLY STREET,North,1797.99
9A HOLLY STREET,North,1620.65
"UNIT 16, 16 TRAFALGAR AVENUE",West,3526.42
4 AMAROO AVENUE,North,1164.6
5 AMAROO AVENUE,North,1204.94
6 AMAROO AVENUE,North,1141.97
54 CAMMARAY ROAD,North,571.59
6 CAMMARAY ROAD,North,988.53
7 CAMMARAY ROAD,North,897.13
8 CAMMARAY ROAD,North,978.71
14 CAMMARAY ROAD,North,885.22
17 CAMMARAY ROAD,North,1025.25
19 CAMMARAY ROAD,North,1048.94
2 CAMMARAY ROAD,North,1016.85
21 CAMMARAY ROAD,North,1062.82
40 CAMMARAY ROAD,North,668.77
69 DEEPWATER ROAD,North,1323.24
75 DEEPWATER ROAD,North,1270.1
77 DEEPWATER ROAD,North,1257.19
78 DEEPWATER ROAD,North,981.49
79 DEEPWATER ROAD,North,1233.34
35 DEEPWATER ROAD,North,1612.48
39 DEEPWATER ROAD,North,1576.92
41 DEEPWATER ROAD,North,1557.67
42 DEEPWATER ROAD,North,1342.83
56 DEEPWATER ROAD,North,1215.94
57 DEEPWATER ROAD,North,1416.58
58 DEEPWATER ROAD,North,1209.53
59 DEEPWATER ROAD,North,1401.84
61 DEEPWATER ROAD,North,1389.88
63 DEEPWATER ROAD,North,1374.21
